2025-06-25 23:09:35.158 [http-nio-20002-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1750642704,1750732318,1750812600] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2025-06-25 23:09:35.166 [http-nio-20002-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-25 23:09:35.167 [http-nio-20002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-25 23:09:35.178 [http-nio-20002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2025-06-25 23:09:35.264 [http-nio-20002-exec-1] INFO  com.zbkj.pc.controller.PcIndexController - 收到首页配置请求
2025-06-25 23:09:35.266 [http-nio-20002-exec-1] INFO  com.zbkj.pc.aspect.ControllerAspect - Controller method：CommonResult com.zbkj.pc.controller.PcIndexController.getConfig()，prams：[]，cost time：7064753 ns，cost：7 ms
2025-06-25 23:09:35.361 [http-nio-20002-exec-2] INFO  com.zbkj.pc.controller.PcIndexController - 收到首页配置请求
2025-06-25 23:09:35.363 [http-nio-20002-exec-2] INFO  com.zbkj.pc.aspect.ControllerAspect - Controller method：CommonResult com.zbkj.pc.controller.PcIndexController.getConfig()，prams：[]，cost time：2185160 ns，cost：2 ms
2025-06-25 23:11:18.342 [http-nio-20002-exec-5] INFO  com.zbkj.pc.aspect.ControllerAspect - Controller method：CommonResult com.zbkj.pc.controller.PcIndexController.getBanner()，prams：[]，cost time：66967 ns，cost：0 ms
2025-06-25 23:17:29.089 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'taskExecutor'
2025-06-25 23:17:29.164 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2025-06-25 23:17:51.861 [main] INFO  com.zbkj.pc.CrmebPcApplication - Starting CrmebPcApplication on macdeMacBook-Pro.local with PID 8048 (/Users/mac/tool/商城装修系统/finance/finance-pc/target/classes started by mac in /Users/mac/tool/商城装修系统/finance/finance-pc)
2025-06-25 23:17:51.862 [main] INFO  com.zbkj.pc.CrmebPcApplication - No active profile set, falling back to default profiles: default
2025-06-25 23:17:54.437 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-25 23:17:54.440 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-25 23:17:54.482 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2025-06-25 23:17:56.219 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 20002 (http)
